ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sig_keygen_time_ms,sign_time_ms,serialize_time_ms,rtt_ms,net_baseline_rtt_ms,receipt_ok,mem_rss_kb,mem_delta_kb,cpu_user_ms,cpu_sys_ms
1779643430.1034055,ML-DSA,ML-DSA-65,1,06e1d131f381419491d1c900dc2c7b91,33,7367,2604,4412,0.5352580001272145,0.45276900027602096,0.7105800000317686,14.063790999898629,2.311989200006792,1,35420,0,0.0,0.0
1779643430.1660585,ML-DSA,ML-DSA-65,2,00c639551e5a4092a066758ef36b70b4,33,7367,2604,4412,0.2276129998790566,0.17351200040138792,0.47018499981277273,10.374585000135994,2.311989200006792,1,35828,0,0.0,0.0
1779643430.2305133,ML-DSA,ML-DSA-65,3,ba29181cf88041f49a8e4bd40b5f6e85,33,7367,2604,4412,0.288670999907481,0.8311769997817464,0.5602890000773186,11.170816000230843,2.311989200006792,1,35828,0,0.0,0.0
1779643430.2940233,ML-DSA,ML-DSA-65,4,af890335243c48979053c2ff4baf18a2,33,7367,2604,4412,0.4767110003740527,0.31151999974099454,0.539507999747002,10.612149999815301,2.311989200006792,1,35832,0,0.0,0.0
1779643430.363371,ML-DSA,ML-DSA-65,5,209f0a04f7e24a098346838e01c2d461,33,7367,2604,4412,0.47150699992926093,1.776819000042451,0.5475449997902615,14.922525000201858,2.311989200006792,1,35832,0,0.0,0.0
1779643430.4273608,ML-DSA,ML-DSA-65,6,f9000a20e0a3469299352d5c84010ce3,33,7367,2604,4412,0.49529599982633954,0.15757500023028115,0.4793090001840028,11.351493999882223,2.311989200006792,1,35832,0,0.0,0.0
1779643430.4903572,ML-DSA,ML-DSA-65,7,467bd6519fb340aaba436fce19df3400,33,7367,2604,4412,0.16666400006215554,0.17940700035978807,0.3692969999065099,11.074285000177042,2.311989200006792,1,35832,0,0.0,0.0
1779643430.5493653,ML-DSA,ML-DSA-65,8,ce2ad0f93dce43b68049f3b5a7085a07,33,7367,2604,4412,0.1451739999538404,0.17508799965071375,0.30860600008963956,7.065047999731178,2.311989200006792,1,35832,0,0.0,0.0
1779643430.6157954,ML-DSA,ML-DSA-65,9,a12055b17e9748c6b78f3690d567fb37,33,7367,2604,4412,0.5359629999475146,0.29079500018269755,0.783274000241363,13.213796999934857,2.311989200006792,1,35840,0,0.0,0.0
1779643430.673788,ML-DSA,ML-DSA-65,10,b12489e4a5764e9f9e6eb3e065d07ec6,34,7368,2604,4412,0.14214500015441445,0.25434899998799665,0.28080899983251584,6.529040000259556,2.311989200006792,1,35840,0,0.0,0.0
1779643430.7374957,ML-DSA,ML-DSA-65,11,df6da85b4c6f440a821facdc9e901ed1,34,7368,2604,4412,0.2173460002268257,0.3905650000888272,0.5657340002471756,11.277895000148419,2.311989200006792,1,35840,0,0.0,0.0
1779643430.8025448,ML-DSA,ML-DSA-65,12,ffb06014e2d64f72b3ad2fea777b716c,34,7368,2604,4412,0.24183000004995847,1.4473169999291713,1.1895330003426352,10.592643000109092,2.311989200006792,1,35840,0,0.0,0.0
1779643430.8664787,ML-DSA,ML-DSA-65,13,c1053071c59e44ab881a6071844ba86e,34,7368,2604,4412,0.2331880000383535,0.2331830000912305,0.5846800004292163,11.685095000302681,2.311989200006792,1,35840,0,0.0,0.0
