dataset,metric,family,n,mean,std,ci95_low,ci95_high,mann_whitney_u,mann_whitney_p_value
xmpp_signature_sender,sign_time_ms,ML-DSA,100,0.6370554399836692,0.6765625820779753,0.5044491738963861,0.7696617060709523,,
xmpp_signature_sender,sign_time_ms,SPHINCS,100,131.9597203500507,11.466949494837246,129.7121982490626,134.2072424510388,,
xmpp_signature_sender,sign_time_ms,ML-DSA_vs_SPHINCS,200,,,,,0.0,2.562143669163401e-34
xmpp_signature_sender,rtt_ms,ML-DSA,100,13.075646160004908,5.1259235081772525,12.070965152402167,14.08032716760765,,
xmpp_signature_sender,rtt_ms,SPHINCS,100,59.25870771001428,4.677946975780326,58.341830102761335,60.17558531726722,,
xmpp_signature_sender,rtt_ms,ML-DSA_vs_SPHINCS,200,,,,,0.0,2.562143669163401e-34
xmpp_signature_sender,stanza_bytes,ML-DSA,100,7367.92,0.3074824459143229,7367.859733440601,7367.980266559399,,
xmpp_signature_sender,stanza_bytes,SPHINCS,100,10888.92,0.3074824459143229,10888.8597334406,10888.9802665594,,
xmpp_signature_sender,stanza_bytes,ML-DSA_vs_SPHINCS,200,,,,,0.0,1.3671889296386475e-41
xmpp_signature_sender,sig_b64_bytes,ML-DSA,100,4412.0,0.0,4412.0,4412.0,,
xmpp_signature_sender,sig_b64_bytes,SPHINCS,100,10476.0,0.0,10476.0,10476.0,,
xmpp_signature_sender,sig_b64_bytes,ML-DSA_vs_SPHINCS,200,,,,,0.0,3.5216158823946e-45
xmpp_signature_receiver,verify_time_ms,ML-DSA,100,0.2423726399501902,0.15258880493947585,0.21246523418205293,0.2722800457183275,,
xmpp_signature_receiver,verify_time_ms,SPHINCS,100,0.5011560400362214,0.4417282483897414,0.41457730335183207,0.5877347767206107,,
xmpp_signature_receiver,verify_time_ms,ML-DSA_vs_SPHINCS,200,,,,,2908.0,3.215661804792689e-07
xmpp_signature_receiver,stanza_bytes,ML-DSA,100,7404.92,0.3074824459143229,7404.859733440601,7404.980266559399,,
xmpp_signature_receiver,stanza_bytes,SPHINCS,100,10925.92,0.3074824459143229,10925.8597334406,10925.9802665594,,
xmpp_signature_receiver,stanza_bytes,ML-DSA_vs_SPHINCS,200,,,,,0.0,1.3671889296386475e-41
hybrid_local_sender,kem_keygen_ms,ML-DSA,20,0.14103690009505954,0.5579862786135342,-0.10351136880537237,0.38558516899549145,,
hybrid_local_sender,kem_keygen_ms,SPHINCS,20,0.020945600044797126,0.007641301741539713,0.01759665189918574,0.02429454819040851,,
hybrid_local_sender,kem_keygen_ms,ML-DSA_vs_SPHINCS,40,,,,,100.0,0.007113494035772574
hybrid_local_sender,sign_time_ms,ML-DSA,20,0.13502625001819973,0.08653965908919531,0.09709857216547249,0.17295392787092698,,
hybrid_local_sender,sign_time_ms,SPHINCS,20,124.51070415008871,4.619588131029355,122.48608038463827,126.53532791553916,,
hybrid_local_sender,sign_time_ms,ML-DSA_vs_SPHINCS,40,,,,,0.0,6.795615128173358e-08
hybrid_local_sender,decaps_time_ms,ML-DSA,20,0.016269349907815873,0.001847498955034157,0.015459647790459897,0.017079052025171848,,
hybrid_local_sender,decaps_time_ms,SPHINCS,20,0.019933550083805998,0.0068930719333046295,0.01691252811013965,0.022954572057472346,,
hybrid_local_sender,decaps_time_ms,ML-DSA_vs_SPHINCS,40,,,,,47.0,3.705115970562938e-05
hybrid_local_sender,sender_total_ms,ML-DSA,20,0.5995847499434603,0.9599767123523278,0.17885640555869325,1.0203130943282275,,
hybrid_local_sender,sender_total_ms,SPHINCS,20,141.52679355006512,5.340277681567254,139.18631366278208,143.86727343734816,,
hybrid_local_sender,sender_total_ms,ML-DSA_vs_SPHINCS,40,,,,,0.0,6.795615128173358e-08
hybrid_local_sender,hello_bytes,ML-DSA,20,8747.55,0.5104177855340405,8747.326299542385,8747.773700457614,,
hybrid_local_sender,hello_bytes,SPHINCS,20,12267.55,0.5104177855340405,12267.326299542385,12267.773700457614,,
hybrid_local_sender,hello_bytes,ML-DSA_vs_SPHINCS,40,,,,,0.0,2.4426370620273008e-08
hybrid_local_sender,response_bytes,ML-DSA,20,1649.55,0.5104177855340404,1649.3262995423856,1649.7737004576143,,
hybrid_local_sender,response_bytes,SPHINCS,20,1649.55,0.5104177855340404,1649.3262995423856,1649.7737004576143,,
hybrid_local_sender,response_bytes,ML-DSA_vs_SPHINCS,40,,,,,200.0,1.0
hybrid_local_receiver,verify_time_ms,ML-DSA,20,0.04397874995447633,0.004758741123415269,0.0418931397011774,0.04606436020777526,,
hybrid_local_receiver,verify_time_ms,SPHINCS,20,0.1901838500543817,0.017343116383021082,0.18258289416825313,0.1977848059405103,,
hybrid_local_receiver,verify_time_ms,ML-DSA_vs_SPHINCS,40,,,,,0.0,6.795615128173358e-08
hybrid_local_receiver,encaps_time_ms,ML-DSA,20,0.019725049969565547,0.012165397482785447,0.014393329443582183,0.025056770495548913,,
hybrid_local_receiver,encaps_time_ms,SPHINCS,20,0.04467090011530668,0.017777544864199617,0.03687954755258377,0.05246225267802959,,
hybrid_local_receiver,encaps_time_ms,ML-DSA_vs_SPHINCS,40,,,,,38.0,1.2505163702974243e-05
hybrid_local_receiver,receiver_total_ms,ML-DSA,20,0.10928165006589548,0.029489959465504572,0.09635710547825349,0.12220619465353746,,
hybrid_local_receiver,receiver_total_ms,SPHINCS,20,0.3192139000930183,0.04676920066686055,0.2987163941519103,0.3397114060341263,,
hybrid_local_receiver,receiver_total_ms,ML-DSA_vs_SPHINCS,40,,,,,0.0,6.795615128173358e-08
hybrid_local_receiver,hello_bytes,ML-DSA,20,8747.55,0.5104177855340405,8747.326299542385,8747.773700457614,,
hybrid_local_receiver,hello_bytes,SPHINCS,20,12267.55,0.5104177855340405,12267.326299542385,12267.773700457614,,
hybrid_local_receiver,hello_bytes,ML-DSA_vs_SPHINCS,40,,,,,0.0,2.4426370620273008e-08
hybrid_local_receiver,response_bytes,ML-DSA,20,1649.55,0.5104177855340404,1649.3262995423856,1649.7737004576143,,
hybrid_local_receiver,response_bytes,SPHINCS,20,1649.55,0.5104177855340404,1649.3262995423856,1649.7737004576143,,
hybrid_local_receiver,response_bytes,ML-DSA_vs_SPHINCS,40,,,,,200.0,1.0
hybrid_xmpp_sender,kem_keygen_time_ms,ML-DSA,90,0.1464823221795086,0.12052711660511074,0.12158116190489833,0.17138348245411886,,
hybrid_xmpp_sender,kem_keygen_time_ms,SPHINCS,90,0.14726147774126727,0.10000400310383815,0.1266004366450124,0.16792251883752216,,
hybrid_xmpp_sender,kem_keygen_time_ms,ML-DSA_vs_SPHINCS,180,,,,,4026.0,0.9463969293783414
hybrid_xmpp_sender,sign_time_ms,ML-DSA,90,0.5586709888120822,0.5832856415716133,0.43816292676127455,0.6791790508628899,,
hybrid_xmpp_sender,sign_time_ms,SPHINCS,90,161.56876908889393,37.521699886448296,153.81670557849336,169.3208325992945,,
hybrid_xmpp_sender,sign_time_ms,ML-DSA_vs_SPHINCS,180,,,,,0.0,4.888023164211157e-31
hybrid_xmpp_sender,decaps_time_ms,ML-DSA,90,0.09711445560848608,0.08038163031810883,0.08050743873075199,0.11372147248622018,,
hybrid_xmpp_sender,decaps_time_ms,SPHINCS,90,0.11509061112317591,0.10303723388103,0.0938028980558309,0.13637832419052093,,
hybrid_xmpp_sender,decaps_time_ms,ML-DSA_vs_SPHINCS,180,,,,,3748.0,0.3883719717480719
hybrid_xmpp_sender,rtt_ms,ML-DSA,90,73.69006566673812,13.373124461598495,70.92714952827593,76.45298180520031,,
hybrid_xmpp_sender,rtt_ms,SPHINCS,90,76.89774288890779,5.978345682782386,75.66260387440923,78.13288190340634,,
hybrid_xmpp_sender,rtt_ms,ML-DSA_vs_SPHINCS,180,,,,,3386.0,0.057665260709550074
hybrid_xmpp_sender,hello_stanza_bytes,ML-DSA,90,16805.4,0.921649717760056,16805.209585195553,16805.59041480445,,
hybrid_xmpp_sender,hello_stanza_bytes,SPHINCS,90,23879.4,0.921649717760056,23879.209585195553,23879.59041480445,,
hybrid_xmpp_sender,hello_stanza_bytes,ML-DSA_vs_SPHINCS,180,,,,,0.0,4.995372206232128e-34
hybrid_xmpp_sender,response_stanza_bytes,ML-DSA,90,2023.4,0.921649717760056,2023.2095851955526,2023.5904148044476,,
hybrid_xmpp_sender,response_stanza_bytes,SPHINCS,90,2025.4,0.921649717760056,2025.2095851955526,2025.5904148044476,,
hybrid_xmpp_sender,response_stanza_bytes,ML-DSA_vs_SPHINCS,180,,,,,850.5,8.892607170694214e-24
hybrid_xmpp_receiver,verify_time_ms,ML-DSA,90,0.17575855560810144,0.14550204833812483,0.14569752097949984,0.20581959023670304,,
hybrid_xmpp_receiver,verify_time_ms,SPHINCS,90,0.81662139998318,0.645551652977524,0.6832490466977345,0.9499937532686255,,
hybrid_xmpp_receiver,verify_time_ms,ML-DSA_vs_SPHINCS,180,,,,,934.0,4.95535377075118e-19
hybrid_xmpp_receiver,encaps_time_ms,ML-DSA,90,0.10994976669280727,0.07584774015022169,0.09427946122838886,0.1256200721572257,,
hybrid_xmpp_receiver,encaps_time_ms,SPHINCS,90,0.14271542217001196,0.10166693135138395,0.12171081653837551,0.1637200278016484,,
hybrid_xmpp_receiver,encaps_time_ms,ML-DSA_vs_SPHINCS,180,,,,,3308.0,0.03388921616244308
