ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sign_time_ms,rtt_ms,receipt_ok
1770222581.1868968,ML-DSA,ML-DSA-65,1,49f5641b90df47d2b0c3980d2803f00c,33,7367,2604,4412,0.22218799995243899,3.421221000053265,1
1770222581.2400959,ML-DSA,ML-DSA-65,2,47f986a34e4644c88295cc1ad8a88f2d,33,7367,2604,4412,0.07787100003042724,2.397912000105862,1
1770222581.294034,ML-DSA,ML-DSA-65,3,c8eba23db22549fa8daf6b5a1241adcc,33,7367,2604,4412,0.09414100009053072,3.1850269999722514,1
1770222581.346948,ML-DSA,ML-DSA-65,4,4b9c25c4a106444a91d8ac1174abeb1b,33,7367,2604,4412,0.12457499997253763,2.0987840000543656,1
1770222581.4011846,ML-DSA,ML-DSA-65,5,db53e108200f4b379e5b472f941a5f22,33,7367,2604,4412,0.30926800013730826,3.093259000024773,1
1770222581.4545045,ML-DSA,ML-DSA-65,6,89e73e15c46a45c7b5e4735a65c7ad96,33,7367,2604,4412,0.07715800006735662,2.4325490001047,1
1770222581.5088534,ML-DSA,ML-DSA-65,7,e76d4f40caad41bca95607fec3708803,33,7367,2604,4412,0.14434700005949708,3.441655999949944,1
1770222581.5631201,ML-DSA,ML-DSA-65,8,dcb9456662a541a4b697f5b461466c30,33,7367,2604,4412,0.21547200003624312,3.352756000140289,1
1770222581.6159482,ML-DSA,ML-DSA-65,9,9ef572a28e854891bb04210a538bdf17,33,7367,2604,4412,0.09113500004787056,2.065757000082158,1
1770222581.6697001,ML-DSA,ML-DSA-65,10,d759fa28acb9404dafadaf6dfad7e914,34,7368,2604,4412,0.26440300007379847,2.8454929999952583,1
1770222581.7223725,ML-DSA,ML-DSA-65,11,391c541d3161445fae2cfda10bbf46a9,34,7368,2604,4412,0.1256929999726708,1.9764029998441401,1
1770222581.7760735,ML-DSA,ML-DSA-65,12,a52050f75a3f4dceb33c51af8663000f,34,7368,2604,4412,0.27172199997949065,2.865156000098068,1
1770222581.8289194,ML-DSA,ML-DSA-65,13,71f1eb789b994cdb98a477ad0d910de2,34,7368,2604,4412,0.13596999997389503,2.0961410000381875,1
1770222581.882643,ML-DSA,ML-DSA-65,14,0e7aec9038a94cd586cdcdc823772695,34,7368,2604,4412,0.09184700002151658,3.0205810001007194,1
1770222581.9354782,ML-DSA,ML-DSA-65,15,d204d7f5b7d846358538a9aa3485dc17,34,7368,2604,4412,0.07698100012021314,2.2033489999557787,1
1770222581.9894998,ML-DSA,ML-DSA-65,16,dd0b95b10a994c52be322c87bc55be11,34,7368,2604,4412,0.0960400000167283,3.2656670000505983,1
1770222582.0422072,ML-DSA,ML-DSA-65,17,81bedc432d264aa3a93024d4ae186a08,34,7368,2604,4412,0.07705899997745291,2.071168999918882,1
1770222582.0957735,ML-DSA,ML-DSA-65,18,1f92388cb6c14bafbf9eabe766dd73cd,34,7368,2604,4412,0.08372599995709606,2.908596999986912,1
1770222582.1485324,ML-DSA,ML-DSA-65,19,81f7a3e7bc214d57a9ce6c6abd230125,34,7368,2604,4412,0.10958100006064342,2.062534000060623,1
1770222582.202287,ML-DSA,ML-DSA-65,20,a4113f6b083c429bb91982c697a1c09e,34,7368,2604,4412,0.11083699996561336,3.0046780000247963,1
1770222582.2551975,ML-DSA,ML-DSA-65,21,78761225550443f2b56c8d6f0ed07f04,34,7368,2604,4412,0.10267699985888612,2.1585130000403296,1
1770222582.3090942,ML-DSA,ML-DSA-65,22,2abcc70a422e4373a3ae162de2db9d3e,34,7368,2604,4412,0.1388079999742331,3.1176390000382526,1
1770222582.361754,ML-DSA,ML-DSA-65,23,77efbb5a31f541c4b0e3fff0eea5ea43,34,7368,2604,4412,0.08794900008979312,1.9849980001254153,1
1770222582.417931,ML-DSA,ML-DSA-65,24,7d66b85024614574a4a79db5a4260580,34,7368,2604,4412,0.24734099997658632,5.0784150000708905,1
1770222582.470936,ML-DSA,ML-DSA-65,25,5cf696cb6ced4d558618efd514dd1cc2,34,7368,2604,4412,0.27824999983749876,2.0431660000213014,1
1770222582.5248451,ML-DSA,ML-DSA-65,26,2f9548b682ec47928268b2a9a6d19e1d,34,7368,2604,4412,0.147770000012315,3.118263000033039,1
1770222582.5777254,ML-DSA,ML-DSA-65,27,1f0872c6a9814a63bfbfda0671ff8d4c,34,7368,2604,4412,0.07667399995625601,2.1376140000484156,1
